, Tweet,TweetClean_NonPT,TweetClean_PT
1967,"Iki
 loo saiki jaringane indosat kecepatane elek tenan lur ng ngomah ku 
Simo, Boyolali.. jaringan 4g rasa edge tenan og.. paketan ngasi turah2 
raiso digunakke pie kii.. ndang didandani jaringane darrah ku.. mumpung 
aku jek setia karo m3 ki!",loo elek tenan lur ng ngomah ku simo boyolali tenan og paketan ngasi kii ndang jaringane darrah ku jek ki,loo elek tenan lur ng ngomah ku simo boyolali tenan og paketan ngasi kii ndang jaringane darrah ku jek ki
1968,"cek dm pulsa ku ke potong padahal ada paketan, nmr 08558947094",cek dm pulsa ku kah paketan nmr,cek dm pulsa ku kah paketan nmr
1969,"Saya
 tahunya sudah habis saja pulsa.... dulu sering komplain terus dibalikin
 pulsanya.... karena masih sering pakai paketan datanya... sekarang 
komplain juga susah.... nomornya susah dihubungi.",pulsa paketan susah,pulsa paketan susah
1970,"@IndosatCare
 Kenapa ya setiap log in league of legends selalu koneksinya bermasalah,
 teman saya yang pake im3 juga ada masalah begitu. Tapi setelah pakai 
vpn, bisa masuk ke dalam gamenya. Apa ada masalah dengan im3?",ya teman pakai vpn,ya teman pakai vpn
1971,"@IndosatCare
 tetapi mereka tidak bisa membantu mengembalikan nomor tersebut, apa ini
 timbal balik indosat kepada pelanggan yang setia menggunakan layanan 
indosat ?
Saya sangat sangat kecewa jika memang nomor ini tidak bisa di aktifkan 
kembali, terimakasih",nomor langgan layan kecewa nomor,nomor langgan layan kecewa nomor
1972,"@IndosatCare
 Saya sudah menggunakan indosat kurang lebih 10 tahun bisa di cek di 
kartu saya di nomor 081532231331 saat ini saya terkena musibah dan nomor
 indosat itu terblokir karna masa tenggang, data saya lengkap di nomor 
tersebut, saya sudah datang ke 2 galeri indosat berbeda",cek kartu nomor nomor terblokir karna tenggang data nomor kah galeri,cek kartu nomor nomor terblokir karna tenggang data nomor kah galeri
1973,"Seumpama
 ada statistik, sentimen negatif kalian pasti lebih besar dari sentimen 
positif atau netral sekalipun. Karena kalian nyaris tak menggubris 
setiap keluhan pelanggan.",statistik sentimen sentimen gubris langgan,statistik sentimen sentimen gubris langgan
1974,Pulsa sya kepotong padahal sudah terdaftar di paket yellow,pulsa daftar,pulsa daftar
1975,Min nomer saya kok lemot sekali yah koneksinya? Apalagi pas mau pakai kuota malam.  Kalo lemot gini sia-sia dong kuotanya masih 18gb an,min kali yah kuota malam gini sia sia,min kali yah kuota malam gini sia sia
1976,"Min
 min.. Ngetwit aja bisanya. Laporan customer ga ada yg ditanggapi. Aq 
email 2kali katanya permasalahan udah kelar. Nyatanya belum ngapa²in. lah",min min ngetwit bisanya lapor customer aq email kelar in,min min ngetwit bisanya lapor customer aq email kelar in
1977,Pulsa saya aja kesedot 35k padahal saya udah berhasil mendaftar paket,pulsa hasil daftar paket,pulsa hasil daftar paket
1978,"@IndosatCare
 Min, saya baru beli perdana. Harusnya isinya 5000. Trus saya uda topup 
25000 via bni internet banking.. Sekarang kenapa pulsanya malah 0???
Nomernya: 085559580100",min perdana uda bni internet,min perdana uda bni internet
1979,"Masa
 data dari blok m tidak masuk ke pusat. Saya sudah telepon dan tidak ada
 permintaan dari saya untuk rubah paket. Bagaimana ini bisa terjadi? 
Kalau sampai bulan depan masih dikenakan tagihan 603 ribu, saya akan 
lapor resmi ke @aduanBRTI  dan BPSK.",data blok kah pusat telepon paket lapor bpsk,data blok kah pusat telepon paket lapor bpsk
1980,"Keluhan pulsa ilang nggak jelas aja nggak ditanggepin. Tolong @YLKI_ID dipantau, banyak laporan kemalingan pulsa oleh indosat.",pulsa ilang ditanggepin pulsa,pulsa ilang ditanggepin pulsa
1981,"Saya ingin mengetahui aturan paket yellow seperti apa min,  saya belum mengerti",atur,atur
1982,Tetep raisoooo:(,raisoo,raisoo
1983,@IndosatCare ini indosat lagi kenapa ya? Dari sore sama sekali gk bisa akses apapun. Udh di restart juga sama aja,ya sore kali akses,ya sore kali akses
1984,"@IndosatCare
 halo kak, kalo mau mengaktifkan unlimited youtube gimana ya? biasanya 
tombol ""buy"" itu tulisannya ""acticved"" terus vpn indosatnya nyala. 
sekarang ga ada tombol actived. nomor saya sudah terlihat di screenshot.pic.twitter.com/J0Z0HfqEML",halo kak nomor,halo kak nomor
1985,hal detailnya adalah pulsa yang tiba tiba lenyap entah kemana tanpa digunakan untuk apapun...,lenyap kemana,lenyap kemana
1986,"Min,
  jangan bohong lah. Itu udah ribuan lho yg komplain dr tadi siang kalo 
dihitung tentang masalah jaringan indosat! Puasa kok bohong muluuuuu",min lho dokter siang jaring puasa muluu,min lho dokter siang jaring puasa muluu
1987,Sejak indosat dibeli ooredoo tambah ajur sinyalnya... parah euy,ooredoo ajur parah,ooredoo ajur parah
1988,"@IndosatCare
 katanya unlimited jumbo ga ada batas kuota, td nelp ke call center 
infonya 50gb pemakain saya jadi jaringan menurun padahal di app baru 
23gb

Yang bener yg mana?pic.twitter.com/BLfq7Kkfmc",batas kuota app,batas kuota app
1989,Cara registrasi kartu perdana gmn?,registrasi kartu,registrasi kartu
1990,"Admin
 sya mw tnya, sya tdi kan udh dftar pket internet 1gb/bln full unlimited
 apps,jika sya dftar pket yellow apakah paket yg 1gb tersebut akn 
hilang..",admin,admin
1991,"@indosatcare
 Koneksi internet di desa Pakisan, Kec. Cawas, Kab. Klaten, Jawa Tengah 
sangat lambat. Browsing menjengkelkan apalagi video ga bisa",koneksi internet desa pakisan kec kab klaten lambat,koneksi internet desa pakisan kec kab klaten lambat
1992,"mgkin yg bner bayarnya dikit, ilang pulsa nya buanyak kali :p #idontcareinfo",bayarnya dikit ilang pulsa nya,bayarnya dikit ilang pulsa nya
1993,"@IndosatCare
@IndosatCare Bagaimana Cara Berbagi pulsa Sesama indosat ?
Terimakasih",pulsa,pulsa
1994,saya sudah DM belum ada tanggapan bagaimana nih? @IndosatCare,dm,dm
1995,"Udah
 lama min kejadiannya, gatau sekarang masih begitu atau enggak. Thanks 
responnya. Next kalau kejadian terulang, lgsg ane DM ya.",min terimakasih,min terimakasih
1996,"keluhan saya gimana..? Gak ada sinyal dari kemarin.. udah restart HP, udah atur jaringan manual.. tapi gak ada perubahan..pic.twitter.com/sfBeYZnkls",sinyal kemarin,sinyal kemarin
1997,Pulsa ku kesedot pas indosat error semalam kok blm dikembalikan DM juga nggak dibales,pulsa ku kesedot error malam,pulsa ku kesedot error malam
1998,Indosat undang penceramah felix xiau.. Dasar #IndosatProRadikalis,undang ceramah dasar,undang ceramah dasar
1999,"@IndosatCare  coba cek panitia kajian Rhamadan, jgn2 pro khilafah juga ..

 #IndosatproRadikalis
#IndosatproRadikalis
#IndosatproRadikalis
#IndosatproRadikalis
#IndosatproRadikalispic.twitter.com/kBt8FYfE7T",cek panitia kaji rhamadan pro khilafah indosatpro radikalis indosatpro radikalis indosatpro radikalis,cek panitia kaji rhamadan pro khilafah indosatpro radikalis indosatpro radikalis indosatpro radikalis
2000,"Min
 jaringan benerin dulu aja, sahur udh daritadi mulai, tlng ya jaringn 
diperbaiki lg, pdhl sinyalnya 4g, tpi internet g jalan sama sekali, yang
 ada nyedot pulsa banyak bat, kalo mau pulsa beli lh sndiri jangan 
ngambil punya customer lu BANGSATTTTTTTTT",min jaring benerin sahur tlng ya jaringn sinyalnya internet jalan kali nyedot pulsa bat pulsa,min jaring benerin sahur tlng ya jaringn sinyalnya internet jalan kali nyedot pulsa bat pulsa
2001,"Jaringan indosat ada apa gerangan? 
Sinyal 4G cuma pajangan doang",jaring gerangan sinyal pajang,jaring gerangan sinyal pajang
2002,"Min jaringan di daerah jakarta timur kok ga stabil ya, padahal 4g tolong diperbaiki y",min jaring daerah jakarta timur ya,min jaring daerah jakarta timur ya
2003,"Udah bangun dan selesai makan sahur, ehh koneksi masih lemot",sahur ehh koneksi,sahur ehh koneksi
2004,Akan lebih indah lagi kalo ada pemberitahuan internet nya gangguan,internet,internet
2005,Suasana ramadhan emang sangat indah kalo gak pake kartu indosat,suasana ramadhan kartu,suasana ramadhan kartu
2006,"mending benerin dlu dah signal sma jaringannya berminggu2 jaringan di bekasi ga stabil2 gblk-,-",bekasi bodoh,bekasi bodoh
2007,Liat ini @YLKI_ID @OmbudsmanRI137 @aduanBRTI hampir setiap hari sinyalnya buruk sekali. Di stop aja ini indosat terlalu sampahh,id aduanbrti kali henti,id aduanbrti kali henti
2008,Indosat knp ya skrg kl saya mau download korea waiting trs dan muncul profil indosat trs?,ya,ya
2009,"Harap anda pertimbangkan kembali rencana anda utk menghadirkan beberapa oknum radikalis semacam Feliz Siauw, Arifin Ilham dllpic.twitter.com/eyla4eB0iM",rencana oknum radikalis ilham,rencana oknum radikalis ilham
2010,"Ini
 cust service nya buta apa dia ga pake indosat juga makanya ga ngrasain 
kalo errornya dari indosatnya bukan hp org yg pake indosatnya, BACOT ga 
jelas lu CS Indosat, sebulan kok bsa 4 x gangguan, konsumen dirugikan",nya pakai orang cs sebulan konsumen,nya pakai orang cs sebulan konsumen
2011,"Iki
 kok gk bisa buat apa apa yaa indosat udah 4g dari jam 2 tadi gratisan 
paket malam juga gk bisa di pake kuota reguler juga masih tetep gk bisa 
cuma muter doang whatshapp aja cuma jam doang ,tapi punya adekku bisa 
juga pake indosat punya saya gk bisa",yaa jam gratisan paket malam kuota jam adekku,yaa jam gratisan paket malam kuota jam adekku
2012,Punya jaringan kok gblog ah :( ML kacau garagara jaringan kntl,,
2013,makin lemot aja dah njs.,,
2014,Punya gw msh lemot ajg dm gk di bls lg dr keamrin,,
2015,"@CCICPolri @DivHumas_Polri @GPAnsor_Satu @PartaiSocmed @joxzin_jogja
 kalau ini selebaran bener.. Tolong ditindak lanjuti.. Masa iya 
perusahaan sebesar ini gak paham kalau yang diundang tokoh ormas 
terlarang? Pecat tuh penanggung jawabnya!pic.twitter.com/x4UFF6ssEF",ccicpolri divhumas polri gpansor partaisocmed joxzin jogja iya usaha paham diundang tokoh ormas larang pecat,ccicpolri divhumas polri gpansor partaisocmed joxzin jogja iya usaha paham diundang tokoh ormas larang pecat
2016,@P3nj3l4j4h noh disuruh DM,noh,noh
2017,"Okesip gercep. thanks.
.
Untuk yang lain, bisa dicoba permintaan ke admin untuk blacklist nomor dari layanan2.pic.twitter.com/esW6OmrMA3",okesip gercep kah,okesip gercep kah
2018,"Hi
 saya bukan pengguna kartu Indosat jd nda perlu DM
Saya hanya mewakili Jutaan rakyat Indonesia yang memakai kartu dari 
perusahaan anda  mrk kecewa krn Indosat mengundang para penceramah di 
bulan Ramadan  yang menurut kami pendukung Radikalis spt Felix siaw, 
Arifin ilham
Itu jo",kartu dm wakil rakyat indonesia kartu usaha kecewa undang ceramah ramadan radikalis,kartu dm wakil rakyat indonesia kartu usaha kecewa undang ceramah ramadan radikalis
2019,"@IndosatCare    Tolong cari Narsum yg Mencerahkan bukan yg membuat Gelap Mata  , gelap hati nurani ..  
ayooo  bantu pak   @jokowi  melawan segala bentuk  Radikalisme  !https://twitter.com/sopian333351/status/996958218784919553 …",narsum cerah mata ayoo lawan bentuk radikalisme,narsum cerah mata ayoo lawan bentuk radikalisme
2020,"@IndosatCare
 tolong ditindak ini penipuan atau gimana soalnya spam gapenting dengan 
isi pesan sama tapi dengan nomor berbeda. Mohon ditindak.pic.twitter.com/3kNuHd2Mnw",spam gapenting isi pesan nomor mohon,spam gapenting isi pesan nomor mohon
2021,"Udah
 seharian saya bolak balik begini min, katanya juga udah registered tapi
 cuma sampe H/H+ aja dan itu ga berlangsung lama. Kalo ga disetting 
manual sperti ini hanya sinyal E yg saya dapat. Masa saya harus setting 
ini tiap saat? Hehe :)pic.twitter.com/ntcUVNAgVn",manual sinyal atur hehe,manual sinyal atur hehe
2022,"@IndosatCare
 terimakasih sinyal dan jaringan 4G makin siip tolong 
dipertahankan,masak kalah sama saya mantan uda Nikah saja masih aq 
pertahankan ogh.masak qm gk bisa mempertahankan jaringan",terimakasih sinyal kalah nikah aq qm tahan,terimakasih sinyal kalah nikah aq qm tahan
2023,"@IndosatCare ya sami mawon Pihak @kemkominfo @Kemenag_RI @lukmansaifuddin
 hrs aware dgn mslah ini..Hrs ada Prwakilan dr Dept anda smua u/ 
MENGAWASI isi ceramahnya jgn sampai mncuci otak dgn hate speech & 
myisipi campaign POLITIK! P'@jokowi pasti ga suka klo hal tsb sampe trjadi! https://twitter.com/PamanDobl4ng/status/996786778731307008 …",ya mslah prwakilan dokter dept isi otak speech myisipi campaign politik jokowi,ya mslah prwakilan dokter dept isi otak speech myisipi campaign politik jokowi
2024,"@IndosatCare
 bayangkan berapa juta pelanggan provider ini yg 'dikerjai' macam saya 
ini.Jika 10rb rupiah sj per pelanggan, 1 juta pelanggan, brp uang yg 
bisa 'dikutil' dr konsumen¿https://twitter.com/agustasubagio/status/996784583784873985 …",langgan provider rb rupiah langgan langgan uang dikutil dokter konsumen,langgan provider rb rupiah langgan langgan uang dikutil dokter konsumen
2025,"@IndosatCare
 dan ini setelah pulsa tersisa 0, baru ada notifikasi saya pakai kuota 
per kb. faktanya tanpa pulsa saya msh bs online. dg kuota 1,2 tersisa 
itu. Jd knp hrs potongvpulsa saya 50 rb?
cc: @YLKI_IDhttps://twitter.com/agustasubagio/status/996782801327304704 …",pulsa sisa notifikasi kuota kb faktanya pulsa kuota sisa potongvpulsa,pulsa sisa notifikasi kuota kb faktanya pulsa kuota sisa potongvpulsa
2026,"@IndosatCare tolong bisa jelaskan pd saya bn bisa kuota madih tersisa 1,2 GB..tapi memotong pulsa hingga 50 rb..ini sdh ke sekian kalinya. 
cc:@YLKI_IDpic.twitter.com/C1X0j0hcbX",bn kuota sisa gb pulsa rb kah kian,bn kuota sisa gb pulsa rb kah kian
2027,"@IndosatCare
 kenapa saya mau daftar paket promo Freedom Combo M 52ribu kok gak 
diproses ya? Awas kalau pulsa saya jadinya ketarik gak jelas seperti 
biasanya. Postingan GAK DIRESPON. DM jg GAK DIRESPON!pic.twitter.com/T3v2u6RpMl",paket promo freedom combo diproses ya pulsa ketarik postingan,paket promo freedom combo diproses ya pulsa ketarik postingan
2028,"Parah indosat nih,saya minta bantu untuk pengaduan pulsa http://ketarik.ga  ada balesannya",parah nih bantu adu pulsa,parah nih bantu adu pulsa
2029,Kalau topup di indomaret 400 ribu berapa biayanya?,indomaret,indomaret
2030,@IndosatCare juga. periksa fb ketua @mttelkomsel yg berpolitik. bgm ini @KemenBUMN @BKNgoid @kempanrb? jgn sampai ada #SelTidur di BUMN kita @CCICPolri @BNPTRI @BSSN_RI @jiiviiewhttps://twitter.com/fath_an/status/996710754811133952 …,facebook ketua mttelkomsel politik ccicpolri bnptri,facebook ketua mttelkomsel politik ccicpolri bnptri
2031,"@IndosatCare
 selamat sore admin, udah beberapa hari sejak isi pulsa terakhir selalu 
dapat sms potongan pulsa pemakaian internet per kb. Anehnya nominalnya 
sama. Padahal saya tidak pernah menyalakan paket data. Saya selalu pakai
 modem wifi. Mohon dibantu. Terima kasih.pic.twitter.com/2P6ZUDDnqF",selamat sore admin isi pulsa sms pulsa internet kb paket data modem wifi mohon,selamat sore admin isi pulsa sms pulsa internet kb paket data modem wifi mohon
2032,"@IndosatCare Dukung Ormas Terlarang HTI yg sudah dibuarkan Pemerintah?
@felixsiauw itu Anti Pancasila anti NKRI pendukung Khilafah.
Kalian Mau jadi antek HTI yg dilarang kaya PKI???
Kalo jd antek HTI siap2 kehilangan pelanggan.
@detikcomhttps://twitter.com/dendyDJemey/status/996582969841106944 …",ormas larang hti perintah felixsiauw nkri khilafah antek hti dilarang partai antek hti langgan detikcom,ormas larang hti perintah felixsiauw nkri khilafah antek hti dilarang partai antek hti langgan detikcom
2033,"@IndosatCare
 pagi min, saya mau komplain nih soalnya saya baru beli pulsa 10k dan 
sebelumnya sy sdh dftr pkt yellow tapi pulsa saya malah kesedot habis 
padahal sy baru aja daftar paket blm ada 5 menit. Tk",pagi min pulsa,pagi min pulsa
2034,"@IndosatCare
 ini kenapa sy berlangganan paket yellow 1gb per sehari seribu dan 
paketannya masih 822 mb tapinya nyedot lagi ke pulsa sy ya? Br kemariin 
beli pulsa 10rb dah mau habis. Minta pertanggung jawabannyapic.twitter.com/otgysf93re",langgan mb kah pulsa ya br kemariin pulsa rb,langgan mb kah pulsa ya br kemariin pulsa rb
2035,"@IndosatCare
 Tolong diperbaiki aplikasinya, masa sisa kuota gabisa keupdate walau 
udah di refresh berkali2? Pas di cek manual baru ke update, ya terus 
fungsi dari aplikasinya apa. Masalahnya ngga ada pemberitahuan kalau 
kuota mau abis, tau2 pulsa saya ilang 25rb kemarin malam.pic.twitter.com/Oh5Y2P6vf6",aplikasinya sisa kuota gabisa cek manual kah ya fungsi aplikasinya kuota pulsa ilang rb kemarin,aplikasinya sisa kuota gabisa cek manual kah ya fungsi aplikasinya kuota pulsa ilang rb kemarin
2036,"sudah
 berbagai cara dilakukan untuk mempercepat dan memperkuat jaringan tetap
 saja lemot. sepertinya kualitas jaringan indosat buruk deh, pdhl 4G 
setengah hingga full untuk jaringannya",,
2037,"@IndosatCare paket internet malem (jam 01-06) banyak, tapi sinyal 3G  entah emang sinyalnya lagi jelek atau apa gatau, tapi agak kecewa aja",paket internet malem jam sinyal sinyalnya jelek kecewa,paket internet malem jam sinyal sinyalnya jelek kecewa
2038,"@IndosatCare
 Malam min, masa paket saya sebelumnya akan habis 10hari kedepan, namun 
krn data sudah habis maka membeli paket baru. namun TIDAK BERTAMBAH masa
 perpanjangan paketnya. mohon bantuannyapic.twitter.com/dBrseNOLXw",malam min paket kedepan data paket,malam min paket kedepan data paket
2039,"Min saya udh dm, kenapa ga ada tanggapan ya ?",min dm ya,min dm ya
2040,"@IndosatCare
 liat bar sinyalnya min, parah bgt 4Gnya, buat main Mobile Lagend aja gk
 bisa, katanya mau ngebut sebelum Ramadhan, ini kok masih lemot bgt, 
mohon ditindak lanjuti. Terima kasihpic.twitter.com/XgxPOJkUL9",bar sinyalnya min parah banget,bar sinyalnya min parah banget
2041,"@IndosatCare
 kuota masih ada 100an MB tiba2 dapet sms pulsa tinggal 0 rupiah dari 
60ribu karena internetan pake pulsa reguler. Gimana dah ini? Maling ih!pic.twitter.com/TsSZUWVi9j",kuota mb dapet sms pulsa rupiah internetan pulsa,kuota mb dapet sms pulsa rupiah internetan pulsa
2042,"Kak tolong donk sinyalnya di perbaiki,,ini dirumah cuman ada 1 baris sinyal 4G dan lemot sekali kak ",cuman baris sinyal kali kak,cuman baris sinyal kali kak
2043,"@IndosatCare ini serius 4G cuma sgni?? Dh mau seminggu begini trus... itu 4G beneran 4G apa cuma pajangan aja kaya hape supercopy cina???

Tutup aja udah... penyedia jasa telekomunikasi kok gajelas gini,pic.twitter.com/ycNxMYNBqP",beneran pajang sedia jasa telekomunikasi,beneran pajang sedia jasa telekomunikasi
2044,"Buset
 coba lg besok pagi, klo org lg sakitnya skrg trus butuh obat, disuruh 
nunggu smpe besok pagi, yah mati dah mati, haha lucu lu,indosat emg ga 
malu ya sering dikomplen",buset besok pagi orang obat disuruh smpe besok pagi yah haha lucu ya dikomplen,buset besok pagi orang obat disuruh smpe besok pagi yah haha lucu ya dikomplen
2045,"Iya nih, tau2 saya dapet sms sisa kuota tinggal 200an MB pas di cek di apps masih 800MB. DM kagak di bales2.
Ntar tau2 nyedot pulsa utama aja, kebiasaan.",iya nih dapet sms sisa kuota mb cek apps mb dm pulsa,iya nih dapet sms sisa kuota mb cek apps mb dm pulsa
2046,"@IndosatCare ah sial lu, gue baru mau pasang paketan malah gangguan, anj*ng bangkrut ajalah lu, gangguan mulu tolol",ah pasang paketan,ah pasang paketan
2047,"185nya
 susah ya dihubungi. Putus terus, alasannya saya belum masukkan nomer 
layanan. Tapi layanannya jg tidak disebutkan sama mesin penjawabnya. 
Main putus aja.",susah ya putus nomer layan layan mesin,susah ya putus nomer layan layan mesin
2048,"@aduanBRTI @YLKI_ID  Sama-sama kak, Jika ada yg ditanyain jangan ragu untuk konfirmasi ya kak. Nice nite ya kak. Salam ^Hevi",ylki ragu konfirmasi ya kak nite ya kak salam,ylki ragu konfirmasi ya kak nite ya kak salam
2049,"@IndosatCare
 ini gimana dah? Ga ngetik apa-apa kok maen aktifin aja. Makin banyak 
alasan buat nyedot pulsa customer. Ini bukan pertamakali pulsa ilang 
gajelas, tiap isi pasti hilang dgn berbagai alasan. Lama2 eneg juga. 
Tiap isi pulsa hilang trs!!! Tolong dicek lg @IM3OoredooJBRpic.twitter.com/ecvXvBcxft",ngetik maen aktifin pulsa customer pertamakali pulsa ilang gajelas isi isi pulsa dicek,ngetik maen aktifin pulsa customer pertamakali pulsa ilang gajelas isi isi pulsa dicek
2050,"Krn
 kartu m3 sy yg udah dipake selama 14th saya buang krn pulsa berkurang 
secara gaib dan sekali sms dipotong 4rb, saya unfol ya Min... Terima 
kasih atas 14th kebersamaan nya ",kartu buang pulsa kali sms rb unfol ya min kasih,kartu buang pulsa kali sms rb unfol ya min kasih
2051,"@IndosatCare
 halo, Saya internetan menggunakan paket tetapi kenapa pulsa diambil ya?
 Padahal saya baru saja daftar paket hari ini pukul 15.21 tetapi pukul 
15.59 ada pemberitahuan penggunaan interneten per KB.pic.twitter.com/gADHpywtxe",halo internetan paket pulsa ya daftar paket interneten,halo internetan paket pulsa ya daftar paket interneten
2052,"@IndosatCare
 Pulsa kesedot terus. Padahal nggak pernah dipake. Malah ada sms kaya 
gini. Padahal ngga pernah registrasi begituan. Gimana tuh min? Mohon 
tindak lanjutnya.pic.twitter.com/qqgaeYMRLO",pulsa kesedot sms registrasi min mohon,pulsa kesedot sms registrasi min mohon
2053,"@IndosatCare
 mau tanya, kartu saya beberapa bulan yg lalu sudah saya upgrade ke 4G, 
kenapa kok keterangan di mym3 gini ya? mohon penjelasanya, thxpic.twitter.com/H2oqs7wrz0",kartu upgrade kah terang gini ya mohon,kartu upgrade kah terang gini ya mohon
2054,Udah berapa hari ini indosat susah banget buat internetan,banget internetan,banget internetan
2055,"Sinyalnya
 dong duhhh, parah banget dah ilang ilangan mulu. Perbaikan perbaikan, 
bukannya makin baik malah makin ilang persekian detik. -_- udh coba 
pindah jaringan manual dan segala cara yg direkomendasiin dari jawaban 
ke user lain tetep aja gada hasil, sedi acu",parah banget ilang ilangan mulu ilang persekian detik coba hasil sedi,parah banget ilang ilangan mulu ilang persekian detik coba hasil sedi
2056,Jadi mau sampe kapan nyedot pulsa pelanggan?,pulsa langgan,pulsa langgan
2057,"Dari kemarin yg dibahas mena menu mena menu... Tu... Komplain customer yg ada di DM segera direspon...
Ngerti bahasa Indonesia ga sih?",kemarin paham bahasa indonesia,kemarin paham bahasa indonesia
2058,menu mah gak masalah perbaiki aja kualitas jaringan. masa sinyal 4G kecepatan Edge ~,menu mah kualitas jaring sinyal,menu mah kualitas jaring sinyal
2059,Ga usah tambah menu2...sinyal aja perbaiki..percuma ga ada sinyal ga bisa akses..,sinyal sinyal akses,sinyal sinyal akses
2060,"Indosat penuh dengan komplain, makany jangan ambil pulsa orang terus sat :v",pulsa manusia sat,pulsa manusia sat
2061,"itu DM & tweet komplain direspon dulu lah, ini CS nya magabut semua -_-",nya,nya
2062,"Yang sudah ada aja gak di respon, apalagi yang belum ada?? Care nya dimana?? Mimpi kali ya Min?? ",respon nya dimana mimpi kali ya min,respon nya dimana mimpi kali ya min
2063,Jaringan lemot min. Dapet SMS kemarin baru trima hari ini.,kemarin,kemarin
2064,@IndosatCare indosat masih bisa beli masa aktif ngga min? Kalo bisa gmana cara nya ya?,min gmana,min gmana
2065,"@IndosatCare
 ..saya mau daftar paket freedom gk bisa, giliran saya pakai buat telpon
 pakai wa dengan menggunakan sisa kuota internet dan ada sisa pulsa 
Rp95.000,tapi langsung ludes, gimana nichh kakmohon penjelasannya saya pengguna mentari 08151125....terima kasih",daftar paket freedom gilir telpon wa sisa kuota internet sisa pulsa,daftar paket freedom gilir telpon wa sisa kuota internet sisa pulsa
2066,Terimakasih riri,,
2067,Knapa ketika di blokir ngak bisa nelpon 185. Kok bisa,blokir nelpon,blokir nelpon
2068,"iya juga sih, tapi tau2 pulsa berkurang sendiri #idontcareinfo",iya sih pulsa,iya sih pulsa
2069,"Jaringan
 network dipengaturan sama aja disananya jelek ya jelek aja, bosen 
keluhan sinyal parah gitu mulu. Konsumen punya batas kesabaran, kalo mau
 jelek ya jelek sekalian jangan dibagi"" lah giliran dini hari bagus pagi
 ampe malem jelek lagi. Lama kelamaan kaya operator amatir ya",dipengaturan disananya jelek ya jelek sinyal parah mulu konsumen batas sabar jelek ya jelek kali gilir pagi malem jelek operator,dipengaturan disananya jelek ya jelek sinyal parah mulu konsumen batas sabar jelek ya jelek kali gilir pagi malem jelek operator
2070,"Saya
 juga sependapat, meski udah langganan tapi ttep aja pulsa saya juga 
masih sering hilang sendiri, padahal kuota juga masih, entah itu 
kesalahan pribadi ato memang permainan indosat?  Terus fungsi langganan itu buat apa?",langgan ttep pulsa kuota fungsi langgan,langgan ttep pulsa kuota fungsi langgan
2071,"Saya
 merasakan seperti itu.  Rugi pulsa saya hilang begitu saja puluhan 
ribu.  Kalau yg ngalaminya banyak org 100 org per org 5k misalkan.  
Banyak tuh",pulsa ngalaminya orang orang orang,pulsa ngalaminya orang orang orang
2072,Sudah di-DM ya sejak siang. Mohon feedback-nya.,dm ya siang,dm ya siang
2073,"@IndosatCare
 aduuuuuuhhhhh kenapa skarang indosat 4g jadi ampas, saya sebagai 
pelanggan setia sejak 11 tahun lalu merasa kecewa semakin hari jadi 
semakin parah lemotnya",langgan kecewa,langgan kecewa
2074,"@IndosatCare
 min, kenapa saya daftar paket yellow 1rb gagal trus coba daftar lagi 
gagal lagi eh pulsa saya kesedot Rp.300. kenapa ya? No. 085890134577 
kejadian kemarin pkl 21:39. tolong dibalas, thanks.pic.twitter.com/erqSqJmMGz",min daftar daftar pulsa ya no kemarin tolong,min daftar daftar pulsa ya no kemarin tolong
2075,"sudah min. pulsa jg mencukupi, tapi jawaban dari sms konfirmasi ttp sama. mohon jangan bikin kesel saya yg lg pms. terima kasih.pic.twitter.com/X115MYw4Oh",min pulsa sms konfirmasi,min pulsa sms konfirmasi
2076,"SAYA
 GAK BUTUH GARNISH MIN, MANA BUKTINYA KL TIKET LAPORAN SAYA ITU DI 
PROGRES? Saya mau lihat kapan tiket itu dibuat dan gmn penanganannya, 
sampai kapan?, @IndosatCare  SEJAK 21 APRIL SAYA KELUHAN GAK ADA PERUBAHAN, INGET YA BOHONG ITU DOSA ALLAH AKAN KASIH BALASAN YG SETIMPAL.pic.twitter.com/R0IvfsvLrr",garnish min buktinya tiket lapor progres tiket bagamana tangan april inget ya dosa allah kasih,garnish min buktinya tiket lapor progres tiket bagamana tangan april inget ya dosa allah kasih
2077,"Cara
 transfer pulsa gimana sih, berkali kali gk pernah ada tanggapan, gk 
pernah bisa. Hampir setiap hari kucoba tg gk bisa, dari mulai sms ke 151
 smpe *123*5*8*3*3#, tetep gk bisa",pulsa sih berkali kali kucoba tg sms kah smpe,pulsa sih berkali kali kucoba tg sms kah smpe
2078,@IndosatCare Kuota unlimited saya kok hilang??? Setelah update aplikasi juga suka error koneksinya. Tolong solusinya gimana?pic.twitter.com/BU2t4ots14,kuota aplikasi error,kuota aplikasi error
2079,"Saya ga bosen komplen layanan yg tiba2 aktif pdhl ga pernah daftar, sama kaya im3 ga bosen nyedot pulsa saya..
Pulsa 5000 aja msh diabisin, what the hell 
Tolong direspon, dibalikin pulsanya klo bisa! @IM3Ooredoopic.twitter.com/2uJ4qmybzm",komplen layan daftar nyedot pulsa pulsa diabisin the hell direspon,komplen layan daftar nyedot pulsa pulsa diabisin the hell direspon
